frame,state,score,is_candidate,is_lying,dy,dy_peak,height,height_drop,body_angle_deg,bbox_ar,missing_streak,tracker_mode,det_conf
0,NORMAL,0.008730204775929451,False,False,0.0,0.0,265.596923828125,0.0,3.726545810699463,0.36623632093465763,0,YOLO,0.9214047789573669
1,NORMAL,0.016335686528633743,False,False,0.0,0.0,265.05613708496094,0.0020361182477927355,3.8791818618774414,0.36795022704586955,0,YOLO,0.9210666418075562
2,NORMAL,0.023056705270069942,False,False,0.0,0.0,265.89654541015625,0.0,4.420142650604248,0.3712693526310075,0,YOLO,0.9194766283035278
3,NORMAL,0.029050623677948507,False,False,0.0,0.0,265.82643127441406,0.0,5.06502103805542,0.3690620411302298,0,YOLO,0.9187297224998474
4,NORMAL,0.03432502933577944,False,False,0.0,0.0,266.34642028808594,0.0,5.731876850128174,0.360856563793681,0,YOLO,0.9215421080589294
5,NORMAL,0.03898612807195198,False,False,-0.01904296875,0.7238235473632812,267.79345703125,0.0,6.243637561798096,0.3566951595522581,0,YOLO,0.9239755868911743
6,NORMAL,0.04311072679858098,False,False,-0.16217041015625,0.6515655517578125,267.36265563964844,0.0,6.556746006011963,0.357021070628327,0,YOLO,0.9231708645820618
7,NORMAL,0.047070136338726545,False,False,0.5298843383789062,0.8528594970703125,266.73594665527344,0.0,7.063893795013428,0.3507275150397805,0,YOLO,0.9250600337982178
8,NORMAL,0.05080388344532396,False,False,1.2957305908203125,1.2957305908203125,266.02513122558594,0.002664865529377448,6.6471943855285645,0.35164262840965155,0,YOLO,0.9262197017669678
9,NORMAL,0.054330981243122994,False,False,1.83026123046875,1.83026123046875,266.27940368652344,0.0017115914614239491,6.859864711761475,0.34962165533476897,0,YOLO,0.9252864122390747
10,NORMAL,0.057783280350421184,False,False,2.053741455078125,2.1259994506835938,266.19757080078125,0.0020183850779886764,7.477455139160156,0.349615179228781,0,YOLO,0.9249305725097656
11,NORMAL,0.06160107112100187,False,False,3.2322616577148438,3.2322616577148438,264.63800048828125,0.006164213887809829,7.434377193450928,0.3518708878971011,0,YOLO,0.9285585284233093
12,NORMAL,0.0660015944782521,False,False,3.56976318359375,3.56976318359375,263.29991149902344,0.010885370940993231,8.854297637939453,0.3553853720610377,0,YOLO,0.9280088543891907
13,NORMAL,0.06977604308595786,False,False,4.168540954589844,4.168540954589844,261.36834716796875,0.017505053136007264,7.6824445724487305,0.356048057812477,0,YOLO,0.9277744293212891
14,NORMAL,0.07303193700875694,False,False,4.26708984375,4.26708984375,260.69627380371094,0.014894787132979644,7.755746841430664,0.35869963291171764,0,YOLO,0.92644864320755
15,NORMAL,0.07626689444002385,False,False,4.11590576171875,4.11590576171875,258.44635009765625,0.018433585388368767,8.470113754272461,0.36234069410315783,0,YOLO,0.9267345070838928
16,NORMAL,0.0795018497239199,False,False,4.2176513671875,4.2176513671875,257.34661865234375,0.01538720567812456,9.111955642700195,0.3739413575715776,0,YOLO,0.9325441122055054
17,NORMAL,0.08293926341969371,False,False,4.7776336669921875,4.7776336669921875,255.53224182128906,0.019808614473370224,9.441873550415039,0.3750587359398745,0,YOLO,0.9272260665893555
18,NORMAL,0.08560062976748344,False,False,4.594337463378906,4.594337463378906,253.44395446777344,0.01935564432615362,8.777946472167969,0.3856449450059402,0,YOLO,0.9295246005058289
19,NORMAL,0.0899208478968323,False,False,6.467613220214844,6.467613220214844,248.02166748046875,0.036234986185974795,8.874669075012207,0.3991252063755495,0,YOLO,0.9283588528633118
20,NORMAL,0.09644845831702598,False,False,7.842185974121094,7.842185974121094,245.26551818847656,0.04017780128111079,12.060103416442871,0.4145977151152493,0,YOLO,0.9218522906303406
21,NORMAL,0.10272458709456433,False,False,8.523948669433594,8.523948669433594,241.12086486816406,0.04862254310025893,11.770164489746094,0.4224320354444097,0,YOLO,0.918636679649353
22,NORMAL,0.1096862805408905,False,False,10.2877197265625,10.2877197265625,234.76930236816406,0.05343228777924528,11.890120506286621,0.43994553173921397,0,YOLO,0.9124712944030762
23,NORMAL,0.11659500601437814,False,False,11.278465270996094,11.278465270996094,230.03204345703125,0.062110136165732875,11.83957576751709,0.44510241201216816,0,YOLO,0.9102871417999268
24,NORMAL,0.123508788806709,False,False,11.90966796875,11.90966796875,224.15264892578125,0.07037224236757944,12.563885688781738,0.4446043408376326,0,YOLO,0.9009835124015808
25,NORMAL,0.13115235650296445,False,False,11.619941711425781,11.619941711425781,218.6893310546875,0.06849264853315461,16.630929946899414,0.4434123191532473,0,YOLO,0.9066945314407349
26,NORMAL,0.13907150904797208,False,False,12.7855224609375,12.7855224609375,213.59046936035156,0.0714751468951363,17.529813766479492,0.4520249338024049,0,YOLO,0.914108157157898
27,NORMAL,0.14422211747696495,False,False,13.05584716796875,13.05584716796875,206.96791076660156,0.07666533606243348,13.349710464477539,0.4601611238815767,0,YOLO,0.9120567440986633
28,NORMAL,0.15187492770252836,False,False,14.123924255371094,14.123924255371094,200.44337463378906,0.0834332261793589,17.698577880859375,0.47113268262032326,0,YOLO,0.9150298237800598
29,NORMAL,0.15764046437112758,False,False,14.375762939453125,14.375762939453125,194.82794189453125,0.08784346755737393,15.35481071472168,0.4773217053182881,0,YOLO,0.9131340980529785
30,NORMAL,0.1615931477367246,False,False,15.401611328125,15.401611328125,190.841552734375,0.07791719002474888,12.98314094543457,0.47703044824846774,0,YOLO,0.8987295627593994
31,NORMAL,0.1674012407267346,False,False,15.226234436035156,15.226234436035156,183.82696533203125,0.08289827155482722,16.90468978881836,0.49868235861294546,0,YOLO,0.9119672179222107
32,NORMAL,0.1686772596193452,False,False,15.308906555175781,15.308906555175781,180.7567138671875,0.07222387040849157,9.948455810546875,0.5076393255080671,0,YOLO,0.9026763439178467
